CellLine,InitialCondition,Day,R
983b,1250,2.25,23.2534485886906
983b,1250,2.25,13.6131616290582
983b,1250,2.25,35.3770038591012
983b,1250,2.25,18.6490987195939
983b,1250,2.25,21.4947938621425
983b,1250,2.25,22.5889278238129
983b,1250,2.25,22.4197185060963
983b,1250,2.25,22.7568790163823
983b,1250,2.25,18.5124779640254
983b,1250,2.25,22.9235997370198
983b,1250,2.25,30.6062943097243
983b,2500,2.25,134.24439152917
983b,2500,2.25,132.684687980572
983b,2500,2.25,132.38780408837
983b,2500,2.25,129.978529638404
983b,2500,2.25,136.476177475046
983b,2500,2.25,140.481733511618
983b,2500,2.25,136.689921357147
983b,2500,2.25,134.074096203836
983b,2500,2.25,137.042335045525
983b,2500,2.25,135.973013864949
983b,2500,2.25,133.846686838192
983b,2500,2.25,132.003737199176
983b,2500,2.25,135.617833224504
983b,2500,2.25,135.01749870444
983b,2500,2.25,136.708491482086
983b,2500,2.25,134.744596351494
983b,2500,2.25,133.685385537429
983b,2500,2.25,132.41655728729
983b,2500,2.25,131.878672519667
983b,2500,2.25,132.808993646897
983b,2500,2.25,132.272704724871
983b,2500,2.25,135.149044595942
983b,2500,2.25,136.19687292604
983b,5000,2.25,172.988668781987
983b,5000,2.25,177.193311532885
983b,5000,2.25,175.617527516416
983b,5000,2.25,178.478055306534
983b,5000,2.25,171.987871351481
983b,5000,2.25,175.074618650612
983b,5000,2.25,172.076417126869
983b,5000,2.25,175.284742080233
983b,5000,2.25,177.47245864046
983b,5000,2.25,175.089108613994
983b,5000,2.25,178.39981525435
983b,5000,2.25,173.472260372244
983b,5000,2.25,174.530011852507
983b,5000,2.25,170.401189039762
983b,5000,2.25,172.179652195062
983b,5000,2.25,174.275276547211
983b,5000,2.25,175.096362235583
983b,5000,2.25,173.793919410074
983b,5000,2.25,159.074881408737
983b,5000,2.25,174.624532658604
983b,5000,2.25,172.731660402297
983b,5000,2.25,172.046900764739
983b,10000,2.25,227.451615405762
983b,10000,2.25,227.317647441801
983b,10000,2.25,223.834564853937
983b,10000,2.25,228.764857918487
983b,10000,2.25,206.595178669786
983b,10000,2.25,222.845672594947
983b,10000,2.25,225.833046505655
983b,10000,2.25,226.198091811189
983b,10000,2.25,230.180845602101
983b,10000,2.25,228.842486443763
983b,10000,2.25,223.53950280331
983b,10000,2.25,216.782533446288
983b,10000,2.25,229.932555902697
983b,10000,2.25,220.969515913454
983b,10000,2.25,220.607361790597
983b,10000,2.25,227.04386654335
983b,10000,2.25,223.414515930648
983b,10000,2.25,215.213516619545
983b,10000,2.25,225.506865908037
983b,10000,2.25,221.319643779431
983b,1250,2.5,19.5788011656772
983b,1250,2.5,20.1538280181641
983b,1250,2.5,29.1621786042428
983b,1250,2.5,23.5247910997811
983b,1250,2.5,30.8129598497907
983b,1250,2.5,20.2167085631676
983b,1250,2.5,35.5202309357077
983b,1250,2.5,14.515655079903
983b,1250,2.5,15.9330015255308
983b,1250,2.5,30.2307446595821
983b,1250,2.5,30.8541247817392
983b,1250,2.5,21.3763608264242
983b,1250,2.5,33.7614224117754
983b,1250,2.5,28.367898851248
983b,1250,2.5,33.0393726667578
983b,2500,2.5,135.645901747849
983b,2500,2.5,135.702033105775
983b,2500,2.5,133.72335768915
983b,2500,2.5,132.493230006878
983b,2500,2.5,139.092448972293
983b,2500,2.5,142.962623561168
983b,2500,2.5,138.754396254298
983b,2500,2.5,137.375367319444
983b,2500,2.5,138.928096427426
983b,2500,2.5,138.048210342581
983b,2500,2.5,136.49477667986
983b,2500,2.5,136.262098309756
983b,2500,2.5,137.467729884418
983b,2500,2.5,137.679934420372
983b,2500,2.5,139.838755931524
983b,2500,2.5,136.782746770366
983b,2500,2.5,134.622077969876
983b,2500,2.5,137.153431786586
983b,2500,2.5,134.706900259262
983b,2500,2.5,135.177222233527
983b,2500,2.5,135.477368135144
983b,2500,2.5,137.292182088136
983b,2500,2.5,139.028562904402
983b,5000,2.5,173.64778378652
983b,5000,2.5,177.786880509078
983b,5000,2.5,175.88474309102
983b,5000,2.5,180.028820673832
983b,5000,2.5,174.428158722567
983b,5000,2.5,175.819778661457
983b,5000,2.5,172.988668781987
983b,5000,2.5,177.715473911886
983b,5000,2.5,178.960989261011
983b,5000,2.5,176.813252979797
983b,5000,2.5,180.26135313831
983b,5000,2.5,175.429505024041
983b,5000,2.5,177.357991741034
983b,5000,2.5,172.929951636859
983b,5000,2.5,173.31854419541
983b,5000,2.5,176.870662962905
983b,5000,2.5,177.644029652573
983b,5000,2.5,176.568995968888
983b,5000,2.5,162.961187727941
983b,5000,2.5,177.586860720228
983b,5000,2.5,176.1803820006
983b,5000,2.5,174.675409394629
983b,10000,2.5,229.871843614934
983b,10000,2.5,228.487238671781
983b,10000,2.5,226.158827038376
983b,10000,2.5,230.031931617337
983b,10000,2.5,209.638607378618
