CellLine,InitialCondition,Day,R,ϕ,η
983b,10000,10,318.286725126406,0.8378265257319567,0.5422642743152186
983b,10000,10,317.671193597921,0.8975891563673185,0.5526657327019279
983b,10000,10,300.095983979452,0.8579192962092239,0.5013850895214261
983b,10000,10,289.771409342952,0.8917184737863783,0.47446263470898925
983b,10000,10,298.159319695262,0.8548477736549459,0.5155461601545124
983b,2500,10,258.865023072332,0.7598376653468105,0.3617811959869404
983b,2500,10,261.535568626362,0.7901186877056839,0.3427085257977515
983b,2500,10,262.759621711067,0.7275381221964035,0.32832280102969624
983b,2500,10,261.527106989308,0.7717078012596994,0.3537960748176161
983b,2500,10,255.276250181103,0.7866719349384848,0.3326244676277163
983b,5000,10,281.64803273576,0.840017470545435,0.39548143710342903
983b,5000,10,287.806280591489,0.844049514931429,0.45538826309070757
983b,5000,10,294.21265447261,0.777313326653173,0.4645569453497971
983b,5000,10,286.912096743631,0.8857419840651988,0.4174549419283025
983b,5000,10,292.097298650333,0.8781989826474745,0.5049553860497739
983b,5000,10,291.299868898758,0.8017379769953057,0.45075036444363753
983b,5000,10,283.159555918093,0.7670271011930562,0.46500303224408923
983b,10000,14,335.18389326545,0.860946697795391,0.6476514560862323
983b,10000,14,348.433260317514,0.8672643276534663,0.6440059107747496
983b,10000,14,339.727751776495,0.8578153135646923,0.6491310186852266
983b,10000,14,346.955935083102,0.9104824299407909,0.6656704869546429
983b,10000,14,344.490830075517,0.8944939088498218,0.6333486074548875
983b,10000,14,333.587471026367,0.8441074062773822,0.626916111442708
983b,10000,14,346.698582210138,0.8891332164042867,0.6613475524547884
983b,2500,14,293.34973495564,0.8538856451559923,0.5275854352104689
983b,2500,14,302.256238573701,0.8140610271594109,0.5371029234899778
983b,2500,14,298.885805350222,0.8696258652378621,0.5102794604629648
983b,2500,14,305.016870875557,0.868133807034235,0.5474575826419655
983b,2500,14,302.986697124491,0.8300225630619178,0.5341407973468164
983b,2500,14,299.920589410417,0.8575397417684822,0.5227998681666934
983b,2500,14,300.468562077224,0.7972024579698751,0.5069794435692909
983b,5000,14,323.722208233639,0.8950241320032003,0.6071826351467629
983b,5000,14,313.987904505776,0.8627803360681068,0.6223985640770378
983b,5000,14,310.721003212418,0.8601546713499366,0.6368056664070404
983b,5000,14,319.210107826352,0.8960164841663488,0.6065972882221995
983b,5000,14,312.983918728002,0.873140936452996,0.6065979254818438
983b,5000,14,307.977969285017,0.8699253345882167,0.58666249215699
983b,5000,14,316.365041888495,0.8907299970043525,0.6001886477345023
983b,5000,14,305.291641667965,0.8609131703999395,0.6016569566424789
983b,10000,21,312.663220681422,0.912223256083856,0.8145823449881463
983b,10000,21,284.134791819677,0.8636004531558882,0.8206303716286759
983b,10000,21,317.887074609787,0.9270431389736317,0.84043087912311
983b,10000,21,295.225506617596,0.8636385022114529,0.8080091043099874
983b,10000,21,349.817902189874,0.8980640529010546,0.7714244124204386
983b,2500,21,318.193234891529,0.8602835518916132,0.7572889975229106
983b,2500,21,361.998664500554,0.9140361360526555,0.7533490604760218
983b,5000,21,376.23756269025,0.9235954269221271,0.7432628613608756
983b,5000,21,279.18051892304,0.8458242356567639,0.8296371244299101
983b,5000,21,328.641728334768,0.9077209265170278,0.8299424692351813
983b,5000,21,377.662201074803,0.9331802219692468,0.7615482896860146
983b,5000,21,324.914045436701,0.8977394693288383,0.8165070404759436
983b,5000,21,375.474104638396,0.9088152954209219,0.7322121399797407
793b,10000,10,267.379231818888,0.5888487608317858,0.14626328749597925
793b,10000,10,288.257023939163,0.7311978495455878,0.3329266870844624
793b,10000,10,282.733734845278,0.6656165685163836,0.278788986778872
793b,2500,10,188.249117812036,0.1909585611023162,0.0
793b,2500,10,184.670126346883,0.13500199503677712,0.0
793b,2500,10,169.758533715084,0.0,0.0
793b,5000,10,231.892254861385,0.5132826523532608,0.0
793b,5000,10,236.82866128322,0.34058443786822656,0.0
793b,5000,10,244.776004327775,0.43288929228685225,0.0
793b,5000,10,242.906449465795,0.45419325685083006,0.0
793b,10000,14,304.52795674597,0.8004118734870527,0.44326298473445935
793b,10000,14,316.634624333884,0.7988991394411129,0.4583245170553735
793b,10000,14,312.898274220345,0.804212107414667,0.4821487072552402
793b,10000,14,318.449687890918,0.7740093278182784,0.4386266089410904
793b,10000,14,307.017603602585,0.7882214774654552,0.42114054283724905
793b,10000,14,312.411462447334,0.8041937876955769,0.4080579728235957
793b,10000,14,308.313908935565,0.8106934229338094,0.4584497307416164
793b,2500,14,227.256726509618,0.2339916341526928,0.0
793b,2500,14,222.269255219331,0.32372747589202755,0.0
793b,2500,14,235.76101166693,0.4330907697214226,0.0
793b,2500,14,206.485638751449,0.16895378715398524,0.0
793b,5000,14,265.120301492418,0.569630869097201,0.2059773273696078
793b,5000,14,287.002068866869,0.712739422045371,0.31816080516217515
793b,5000,14,275.234190035234,0.7007793982500057,0.2811119040027044
793b,5000,14,280.923359032783,0.7369130270217642,0.31074543583209013
793b,10000,21,335.233773567781,0.8749985961427921,0.6435047490815171
793b,10000,21,337.66742595629,0.8835125532008982,0.6708465931814184
793b,10000,21,330.227063853008,0.8533544013583431,0.6017326510829647
793b,10000,21,326.851667735817,0.8663865796305424,0.642649707574517
793b,10000,21,321.759627877024,0.873609211842245,0.6562852501479499
793b,2500,21,294.6627772027,0.8178567913457607,0.42637305443359813
793b,2500,21,272.983512788046,0.8172311424938926,0.21744753392932364
793b,2500,21,301.295589318758,0.8268324033496107,0.4580568565792469
793b,2500,21,316.600453677075,0.8135562731114646,0.467850239325464
793b,2500,21,262.883116569574,0.744773326294392,0.0
793b,2500,21,313.994169322279,0.8263142746084984,0.465233588496301
793b,2500,21,302.61153153812,0.8266094079408459,0.46586263546651824
793b,5000,21,330.688393531772,0.8884556046998576,0.6125559994782214
793b,5000,21,319.558862475376,0.8493241504149733,0.5779866241928476
793b,5000,21,328.418691510898,0.847933583501712,0.6086298697393268
983b,10000,16,363.788136675764,0.8917263598434706,0.6779917215065133
983b,10000,16,366.916304087529,0.8743929799605287,0.5857482810325977
983b,10000,16,349.852342598047,0.9030783368767521,0.6808154603899932
983b,10000,16,333.10284488427,0.9191233821572559,0.7171286897662892
983b,10000,16,375.909341467112,0.9195696925798713,0.6924519255089578
983b,10000,16,356.425319981726,0.9308359580580362,0.689747604168103
983b,10000,16,350.523604940244,0.9304649250931355,0.7199774033230828
983b,10000,16,360.914999725141,0.8919793072674357,0.6829966645035196
983b,10000,16,348.074583493662,0.9087110055294526,0.7159617460203117
983b,10000,16,350.762028731521,0.8881561655084458,0.6971558539196918
983b,2500,16,327.653377246489,0.8291157371223709,0.605839520395162
983b,2500,16,328.866856940873,0.844829110527946,0.5722744190381577
983b,2500,16,305.663517755853,0.8800180119988045,0.5807197045375464
983b,2500,16,329.229281826591,0.8778052187348309,0.5729327134988701
983b,2500,16,336.349007475949,0.9105945436304899,0.6115262362051769
983b,2500,16,332.17366734846,0.8715766969997456,0.5981653995062447
983b,2500,16,346.770206457138,0.8601709186814083,0.6001706488552745
983b,2500,16,333.117607987246,0.8795980554805178,0.6081108822400401
983b,5000,16,324.101766629573,0.8924645676667138,0.6412214114857194
983b,5000,16,349.424056441923,0.8999325304366368,0.6806920330637383
